	word	surprisal	item	sent_id	sent_pos	zone	length	freq
114	mill	17.30655	1	3	58	115	4	747
115	owners	16.9638	1	3	59	116	6	1077
116	created	14.9705	1	3	60	117	7	10788
117	to	8.05395	1	3	61	118	2	2148027
118	celebrate	16.09445	1	3	62	119	9	1350
119	their	10.733699999999999	1	3	63	120	5	141697
120	achievements.	24.571350000000002	1	3	64	121	13	101
121	It	5.52985	1	4	1	122	2	220551
122	shows	13.20995	1	4	2	123	5	7071
123	a	7.3771	1	4	3	124	1	1933416
124	sinister	17.58895	1	4	4	125	8	239
125	looking	11.636849999999999	1	4	5	126	7	29194
126	boar's	27.072249999999997	1	4	6	127	6	21
127	head	15.71115	1	4	7	128	4	25889
128	sitting	15.8014	1	4	8	129	7	8881
129	on	7.50035	1	4	9	130	2	560861
130	top	13.4482	1	4	10	131	3	16514
131	of	5.1747	1	4	11	132	2	2057315
132	a	7.77555	1	4	12	133	1	1933416
133	well	9.18965	1	4	13	134	4	65604
134	which	10.57605	1	4	14	135	5	169235
135	seems	11.9688	1	4	15	136	5	12750
136	puzzling	19.1999	1	4	16	137	8	136
137	at	7.9799	1	4	17	138	2	392110
138	first,	18.2316	1	4	18	139	6	3927
139	but	6.92975	1	4	19	140	3	262599
140	the	6.34525	1	4	20	141	3	4187023
141	reason	12.665199999999999	1	4	21	142	6	12075
142	for	6.9913	1	4	22	143	3	657368
143	this	7.8988000000000005	1	4	23	144	4	394225
144	symbol	15.722750000000001	1	4	24	145	6	1854
145	is	7.32885	1	4	25	146	2	1041416
146	a	7.376250000000001	1	4	26	147	1	1933416
147	matter	11.092749999999999	1	4	27	148	6	15824
148	of	6.8534	1	4	28	149	2	2057315
149	legend.	25.33345	1	4	29	150	7	207
150	There	7.70455	1	5	1	151	5	57926
151	was	8.31265	1	5	2	152	3	865130
152	once,	19.47935	1	5	3	153	5	2197
153	legend	18.9327	1	5	4	154	6	796
154	has	9.71935	1	5	5	155	3	169230
155	it,	15.61335	1	5	6	156	3	52053
156	a	9.097999999999999	1	5	7	157	1	1933416
157	fearsome	17.878500000000003	1	5	8	158	8	103
158	boar,	24.398400000000002	1	5	9	159	5	44
159	which	9.84665	1	5	10	160	5	169235
160	lived	15.720749999999999	1	5	11	161	5	14857
161	in	7.247999999999999	1	5	12	162	2	1489991
162	a	7.07495	1	5	13	163	1	1933416
163	wood	14.80875	1	5	14	164	4	3677
164	located	17.7053	1	5	15	165	7	8522
165	just	7.65665	1	5	16	166	4	214572
166	outside	12.6967	1	5	17	167	7	11468
167	the	6.09165	1	5	18	168	3	4187023
168	manor	19.143	1	5	19	169	5	293
169	of	5.5358	1	5	20	170	2	2057315
170	Bradford.	23.9419	1	5	21	171	9	62
171	A	8.1784	1	6	1	172	1	101973
172	source	15.1708	1	6	2	173	6	3674
173	of	4.4803999999999995	1	6	3	174	2	2057315
174	great	13.765799999999999	1	6	4	175	5	43756
175	trouble	15.32965	1	6	5	176	7	7188
176	to	9.82945	1	6	6	177	2	2148027
177	the	6.739750000000001	1	6	7	178	3	4187023
178	local	14.4265	1	6	8	179	5	12295
179	folk	14.049150000000001	1	6	9	180	4	1687
180	the	8.2235	1	6	10	181	3	4187023
181	boar	18.98445	1	6	11	182	4	219
182	was,	18.28805	1	6	12	183	4	8233
183	bringing	14.878	1	6	13	184	8	3666
184	terror	18.20845	1	6	14	185	6	929
185	to	7.140000000000001	1	6	15	186	2	2148027
186	the	6.739750000000001	1	6	16	187	3	4187023
187	peaceful	16.00445	1	6	17	188	8	1049
188	flocks	19.53255	1	6	18	189	6	162
189	and	4.930350000000001	1	6	19	190	3	2001994
190	ravaging	30.15615	1	6	20	191	8	20
191	the	5.589650000000001	1	6	21	192	3	4187023
192	countryside	17.08805	1	6	22	193	11	461
193	around.	21.92535	1	6	23	194	7	4632
194	Even	11.218250000000001	1	7	1	195	4	10782
195	worse,	19.16935	1	7	2	196	6	555
196	however,	17.219549999999998	1	7	3	197	8	7829
197	the	7.950849999999999	1	7	4	198	3	4187023
198	boar	18.98445	1	7	5	199	4	219
199	most	15.4218	1	7	6	200	4	58233
200	liked	14.72125	1	7	7	201	5	5918
201	to	6.774900000000001	1	7	8	202	2	2148027
202	go	8.8316	1	7	9	203	2	152253
203	to	8.449950000000001	1	7	10	204	2	2148027
204	the	6.739750000000001	1	7	11	205	3	4187023
205	well	10.28065	1	7	12	206	4	65604
206	that	7.1983	1	7	13	207	4	914941
207	was	9.51815	1	7	14	208	3	865130
208	in	8.80515	1	7	15	209	2	1489991
209	the	5.56475	1	7	16	210	3	4187023
210	wood	14.2192	1	7	17	211	4	3677
211	and	5.3778	1	7	18	212	3	2001994
212	drink	14.8738	1	7	19	213	5	8116
213	its	13.36095	1	7	20	214	3	73260
214	fresh	15.397549999999999	1	7	21	215	5	4078
215	water,	17.583	1	7	22	216	6	3499
216	so	7.8261	1	7	23	217	2	222473
217	that	7.353149999999999	1	7	24	218	4	914941
218	the	7.974500000000001	1	7	25	219	3	4187023
219	people	9.70875	1	7	26	220	6	105143
220	of	6.9719	1	7	27	221	2	2057315
221	Bradford	17.1759	1	7	28	222	8	413
222	had	11.038049999999998	1	7	29	223	3	276988
223	second	14.873249999999999	1	7	30	224	6	28663
224	thoughts	14.54635	1	7	31	225	8	2622
225	about	12.7053	1	7	32	226	5	225912
226	visiting	16.11115	1	7	33	227	8	1484
227	the	5.167249999999999	1	7	34	228	3	4187023
228	well.	17.8925	1	7	35	229	5	13536
229	That	6.99935	1	8	1	230	4	57508
230	the	7.0084	1	8	2	231	3	4187023
231	people	9.70875	1	8	3	232	6	105143
232	of	6.9719	1	8	4	233	2	2057315
233	Bradford	17.1759	1	8	5	234	8	413
234	bore	17.6723	1	8	6	235	4	1275
235	the	5.922000000000001	1	8	7	236	3	4187023
236	brunt	26.15435	1	8	8	237	5	47
237	of	6.4496	1	8	9	238	2	2057315
238	the	6.865349999999999	1	8	10	239	3	4187023
239	beast's	21.745449999999998	1	8	11	240	7	19
240	ferocity	30.848950000000002	1	8	12	241	8	62
241	was	9.36785	1	8	13	242	3	865130
242	unfair	18.3779	1	8	14	243	6	524
243	in	7.3541	1	8	15	244	2	1489991
244	the	5.56475	1	8	16	245	3	4187023
245	eyes	11.772950000000002	1	8	17	246	4	19776
246	of	6.54235	1	8	18	247	2	2057315
247	the	6.865349999999999	1	8	19	248	3	4187023
248	people	9.70875	1	8	20	249	6	105143
249	of	6.9719	1	8	21	250	2	2057315
250	the	6.865349999999999	1	8	22	251	3	4187023
251	region.	23.76215	1	8	23	252	7	1860
252	Eventually,	20.04535	1	9	1	253	11	572
253	the	7.950849999999999	1	9	2	254	3	4187023
254	issue	14.93865	1	9	3	255	5	3984
255	reached	15.386099999999999	1	9	4	256	7	9065
256	the	6.14625	1	9	5	257	3	4187023
257	ears	14.98235	1	9	6	258	4	2774
258	of	7.6212	1	9	7	259	2	2057315
259	the	6.865349999999999	1	9	8	260	3	4187023
260	kindly	15.27495	1	9	9	261	6	1186
261	Lord	14.197849999999999	1	9	10	262	4	8396
262	of	7.3367	1	9	11	263	2	2057315
263	the	6.865349999999999	1	9	12	264	3	4187023
264	Manor	17.062649999999998	1	9	13	265	5	251
265	who	10.964	1	9	14	266	3	154477
266	the	7.5562000000000005	1	9	15	267	3	4187023
267	people	9.70875	1	9	16	268	6	105143
268	had	10.747	1	9	17	269	3	276988
269	often	14.136099999999999	1	9	18	270	5	20165
270	asked	11.95555	1	9	19	271	5	23523
271	for	7.929	1	9	20	272	3	657368
272	help.	19.300849999999997	1	9	21	273	5	5335
273	The	6.462400000000001	1	10	1	274	3	484810
274	Lord	12.23575	1	10	2	275	4	8396
275	saw	13.81755	1	10	3	276	3	33810
276	the	5.5085999999999995	1	10	4	277	3	4187023
277	severity	17.79035	1	10	5	278	8	174
278	of	4.338699999999999	1	10	6	279	2	2057315
279	the	6.865349999999999	1	10	7	280	3	4187023
280	problem	11.3533	1	10	8	281	7	11153
281	the	9.0231	1	10	9	282	3	4187023
282	people	9.70875	1	10	10	283	6	105143
283	faced	16.793349999999997	1	10	11	284	5	1738
284	and	6.25725	1	10	12	285	3	2001994
285	suggested	17.729300000000002	1	10	13	286	9	3138
286	a	7.7700499999999995	1	10	14	287	1	1933416
287	contest	16.7465	1	10	15	288	7	1006
288	could	10.0785	1	10	16	289	5	118093
289	solve	15.959900000000001	1	10	17	290	5	2504
290	the	5.35805	1	10	18	291	3	4187023
291	problem.	19.0764	1	10	19	292	8	5990
292	He	6.73875	1	11	1	293	2	240604
293	said	8.8469	1	11	2	294	4	125616
294	that	7.0739	1	11	3	295	4	914941
295	whoever	14.49755	1	11	4	296	7	1420
296	could	9.793949999999999	1	11	5	297	5	118093
297	kill	14.232399999999998	1	11	6	298	4	19133
298	the	6.05345	1	11	7	299	3	4187023
299	boar	18.98445	1	11	8	300	4	219
300	and	5.129250000000001	1	11	9	301	3	2001994
301	bring	13.5567	1	11	10	302	5	19825
302	as	9.7549	1	11	11	303	2	438309
303	proof	17.4899	1	11	12	304	5	2031
304	its	14.857199999999999	1	11	13	305	3	73260
305	head	12.7685	1	11	14	306	4	25889
306	to	9.569700000000001	1	11	15	307	2	2148027
307	the	6.739750000000001	1	11	16	308	3	4187023
308	Manor	17.062649999999998	1	11	17	309	5	251
309	House	12.742899999999999	1	11	18	310	5	7775
310	would	10.56705	1	11	19	311	5	171047
311	be	9.3096	1	11	20	312	2	438564
312	rewarded	18.0623	1	11	21	313	8	370
313	with	7.90175	1	11	22	314	4	532188
314	land	16.20065	1	11	23	315	4	11949
315	and	5.694649999999999	1	11	24	316	3	2001994
316	fame.	25.3764	1	11	25	317	5	189
317	It	5.52985	1	12	1	318	2	220551
318	was	7.6599	1	12	2	319	3	865130
319	the	6.64865	1	12	3	320	3	4187023
320	people	9.70875	1	12	4	321	6	105143
321	of	6.9719	1	12	5	322	2	2057315
322	Bradford	17.1759	1	12	6	323	8	413
323	and	5.1206	1	12	7	324	3	2001994
324	the	7.45205	1	12	8	325	3	4187023
325	people	9.70875	1	12	9	326	6	105143
326	who	8.3637	1	12	10	327	3	154477
327	knew	12.94535	1	12	11	328	4	24557
328	them	10.1821	1	12	12	329	4	127462
329	who	9.845949999999998	1	12	13	330	3	154477
330	rejoiced	18.5724	1	12	14	331	8	270
331	at	7.185700000000001	1	12	15	332	2	392110
332	this	8.2866	1	12	16	333	4	394225
333	proclamation	18.3918	1	12	17	334	12	207
334	but	9.13955	1	12	18	335	3	262599
335	one	8.68585	1	12	19	336	3	250610
336	question	11.69355	1	12	20	337	8	10909
337	remained:	27.1795	1	12	21	338	9	4
338	who	12.9363	1	12	22	339	3	154477
339	would	10.233799999999999	1	12	23	340	5	171047
340	kill	13.8094	1	12	24	341	4	19133
341	the	6.05345	1	12	25	342	3	4187023
342	boar?	27.283549999999998	1	12	26	343	5	5
343	By	11.25255	1	12	27	344	2	14456
344	the	5.6988	1	12	28	345	3	4187023
345	handsome	15.5582	1	12	29	346	8	2037
346	reward	16.980800000000002	1	12	30	347	6	1371
347	many	14.784099999999999	1	12	31	348	4	65848
348	felt	13.89775	1	12	32	349	4	14791
349	tempted,	23.7517	1	12	33	350	8	17
350	but	6.92975	1	12	34	351	3	262599
351	the	6.34525	1	12	35	352	3	4187023
352	thought	11.5428	1	12	36	353	7	51874
353	of	6.7425999999999995	1	12	37	354	2	2057315
354	the	6.865349999999999	1	12	38	355	3	4187023
355	boar	18.98445	1	12	39	356	4	219
356	with	8.862400000000001	1	12	40	357	4	532188
357	its	12.206299999999999	1	12	41	358	3	73260
358	deadly	16.08695	1	12	42	359	6	1007
359	tusks	18.42765	1	12	43	360	5	91
360	and	5.11475	1	12	44	361	3	2001994
361	face	13.868500000000001	1	12	45	362	4	19825
362	like	9.44495	1	12	46	363	4	236876
363	thunder	17.68345	1	12	47	364	7	572
364	soon	14.33575	1	12	48	365	4	18146
365	put	10.54265	1	12	49	366	3	74602
366	an	10.89885	1	12	50	367	2	248211
367	end	12.342600000000001	1	12	51	368	3	29867
368	to	9.581299999999999	1	12	52	369	2	2148027
369	their	12.2057	1	12	53	370	5	141697
370	ambitions.	23.39535	1	12	54	371	10	67
371	However,	15.8016	1	13	1	372	8	12156
372	there	9.17515	1	13	2	373	5	172849
373	was	9.44425	1	13	3	374	3	865130
374	one	9.2654	1	13	4	375	3	250610
375	huntsman,	25.604750000000003	1	13	5	376	9	49
376	who	9.626149999999999	1	13	6	377	3	154477
377	was	9.65695	1	13	7	378	3	865130
378	still	11.9193	1	13	8	379	5	58667
379	wet	15.9489	1	13	9	380	3	2831
380	behind	12.09895	1	13	10	381	6	16499
381	the	5.5059000000000005	1	13	11	382	3	4187023
382	ears,	22.21715	1	13	12	383	5	515
383	who	9.626149999999999	1	13	13	384	3	154477
384	decided	15.1447	1	13	14	385	7	9965
385	the	7.4232499999999995	1	13	15	386	3	4187023
386	prize	15.63075	1	13	16	387	5	1773
387	was	8.71875	1	13	17	388	3	865130
388	worth	15.6526	1	13	18	389	5	7389
389	a	6.60585	1	13	19	390	1	1933416
390	shot,	22.02685	1	13	20	391	5	730
391	in	9.08305	1	13	21	392	2	1489991
392	spite	13.9209	1	13	22	393	5	2493
393	of	3.9149	1	13	23	394	2	2057315
394	the	6.865349999999999	1	13	24	395	3	4187023
395	boar's	24.5638	1	13	25	396	6	21
396	reputation.	25.36665	1	13	26	397	11	332
397	The	6.462400000000001	1	14	1	398	3	484810
398	huntsman	17.9349	1	14	2	399	8	150
399	discovered	17.58065	1	14	3	400	10	5316
400	the	5.9224	1	14	4	401	3	4187023
401	boar	18.98445	1	14	5	402	4	219
402	preferred	16.7325	1	14	6	403	9	1050
403	to	5.89215	1	14	7	404	2	2148027
404	come	9.04465	1	14	8	405	4	102424
405	out	10.8911	1	14	9	406	3	187808
406	in	8.62435	1	14	10	407	2	1489991
407	the	5.56475	1	14	11	408	3	4187023
408	middle	12.500900000000001	1	14	12	409	6	8435
409	of	5.1468	1	14	13	410	2	2057315
410	the	6.865349999999999	1	14	14	411	3	4187023
411	day.	19.99785	1	14	15	412	4	12489
412	So	6.50985	1	15	1	413	2	110525
413	he	7.1831499999999995	1	15	2	414	2	463232
414	went	10.82275	1	15	3	415	4	55938
415	to	7.99995	1	15	4	416	2	2148027
416	the	6.739750000000001	1	15	5	417	3	4187023
417	wood	14.2192	1	15	6	418	4	3677
418	by	10.01075	1	15	7	419	2	302746
419	the	5.9441	1	15	8	420	3	4187023
420	well	10.28065	1	15	9	421	4	65604
421	with	11.1752	1	15	10	422	4	532188
422	his	10.38205	1	15	11	423	3	351278
423	good	10.208	1	15	12	424	4	91881
424	bow,	23.327550000000002	1	15	13	425	4	208
425	to	10.2914	1	15	14	426	2	2148027
426	bide	24.846850000000003	1	15	15	427	4	63
427	his	12.88245	1	15	16	428	3	351278
428	time.	20.1432	1	15	17	429	5	29557
429	Around	13.357099999999999	1	16	1	430	6	1238
430	noontime,	52.1118	1	16	2	431	9	1
431	the	7.950849999999999	1	16	3	432	3	4187023
432	boar,	25.5058	1	16	4	433	5	44
433	feared	18.3331	1	16	5	434	6	1086
434	by	8.48805	1	16	6	435	2	302746
435	the	5.9441	1	16	7	436	3	4187023
436	locals,	22.412	1	16	8	437	7	47
437	came	13.7406	1	16	9	438	4	54853
438	out,	18.6218	1	16	10	439	4	12065
439	as	9.4244	1	16	11	440	2	438309
440	slow	14.608350000000002	1	16	12	441	4	3418
441	as	8.829799999999999	1	16	13	442	2	438309
442	a	8.76875	1	16	14	443	1	1933416
443	snail,	23.44885	1	16	15	444	6	75
444	from	11.26485	1	16	16	445	4	307845
445	among	14.8819	1	16	17	446	5	13215
446	the	4.5728	1	16	18	447	3	4187023
447	trees,	19.7427	1	16	19	448	6	1038
448	just	8.51	1	16	20	449	4	214572
449	as	10.8851	1	16	21	450	2	438309
450	the	8.23275	1	16	22	451	3	4187023
451	huntsman	17.2515	1	16	23	452	8	150
452	had	11.3248	1	16	24	453	3	276988
453	predicted.	24.98835	1	16	25	454	10	59
454	The	6.462400000000001	1	17	1	455	3	484810
455	huntsman	17.9349	1	17	2	456	8	150
456	leaped	17.346899999999998	1	17	3	457	6	618
457	from	8.19115	1	17	4	458	4	307845
458	his	10.686	1	17	5	459	3	351278
459	hiding	14.7347	1	17	6	460	6	2590
460	place	13.0472	1	17	7	461	5	35019
461	and	6.872199999999999	1	17	8	462	3	2001994
462	through	13.924900000000001	1	17	9	463	7	58180
463	the	5.5558499999999995	1	17	10	464	3	4187023
464	heart	12.8418	1	17	11	465	5	17322
465	with	11.14495	1	17	12	466	4	532188
466	his	10.38205	1	17	13	467	3	351278
467	fine	11.99375	1	17	14	468	4	8781
468	arrows	19.46855	1	17	15	469	6	509
469	shot	16.3693	1	17	16	470	4	8230
470	the	7.5783000000000005	1	17	17	471	3	4187023
471	boar.	25.665750000000003	1	17	18	472	5	34
472	Now	8.06925	1	18	1	473	3	35751
473	the	6.45705	1	18	2	474	3	4187023
474	problem	11.3533	1	18	3	475	7	11153
475	was	9.87235	1	18	4	476	3	865130
476	no	8.695450000000001	1	18	5	477	2	152559
477	longer	11.80575	1	18	6	478	6	10031
478	to	8.68985	1	18	7	479	2	2148027
479	kill	13.1251	1	18	8	480	4	19133
480	the	6.05345	1	18	9	481	3	4187023
481	boar.	25.665750000000003	1	18	10	482	5	34
482	It	5.52985	1	19	1	483	2	220551
483	was	7.6599	1	19	2	484	3	865130
484	to	9.79335	1	19	3	485	2	2148027
485	find	11.4766	1	19	4	486	4	52461
486	a	6.2547	1	19	5	487	1	1933416
487	way	11.36175	1	19	6	488	3	70042
488	to	8.13315	1	19	7	489	2	2148027
489	carry	12.676449999999999	1	19	8	490	5	7315
490	the	5.6640999999999995	1	19	9	491	3	4187023
491	boar	18.98445	1	19	10	492	4	219
492	back.	21.0024	1	19	11	493	5	17510
493	The	6.462400000000001	1	20	1	494	3	484810
494	head	12.6033	1	20	2	495	4	25889
495	was	9.970749999999999	1	20	3	496	3	865130
496	too	10.89	1	20	4	497	3	54580
497	heavy	14.88125	1	20	5	498	5	6145
498	for	7.9175	1	20	6	499	3	657368
499	the	5.7364	1	20	7	500	3	4187023
500	little	9.304	1	20	8	501	6	104679
501	huntsman	18.638849999999998	1	20	9	502	8	150
502	to	10.192250000000001	1	20	10	503	2	2148027
503	carry	12.676449999999999	1	20	11	504	5	7315
504	back	10.362400000000001	1	20	12	505	4	91646
505	to	7.934699999999999	1	20	13	506	2	2148027
506	the	6.739750000000001	1	20	14	507	3	4187023
507	Manor	17.062649999999998	1	20	15	508	5	251
508	House,	20.388399999999997	1	20	16	509	6	1086
509	but	6.92975	1	20	17	510	3	262599
510	the	6.34525	1	20	18	511	3	4187023
511	huntsman,	24.262349999999998	1	20	19	512	9	49
512	who	9.626149999999999	1	20	20	513	3	154477
513	was	9.65695	1	20	21	514	3	865130
514	as	9.8422	1	20	22	515	2	438309
515	quick-witted	37.423950000000005	1	20	23	516	12	13
516	and	4.9594000000000005	1	20	24	517	3	2001994
517	cunning	19.48355	1	20	25	518	7	507
518	as	7.5156	1	20	26	519	2	438309
519	ever,	22.52115	1	20	27	520	5	816
520	asked	14.1373	1	20	28	521	5	23523
521	himself,	22.1111	1	20	29	522	8	2853
522	'What	15.9176	1	20	30	523	5	311
523	else	9.99735	1	20	31	524	4	20782
524	can	9.546199999999999	1	20	32	525	3	239655
525	I	1.82	1	20	33	526	1	1412272
526	do	6.8179	1	20	34	527	2	297104
527	to	10.725	1	20	35	528	2	2148027
528	prove	14.294	1	20	36	529	5	4172
529	I	3.87355	1	20	37	530	1	1412272
530	killed	14.2412	1	20	38	531	6	15090
531	the	6.140599999999999	1	20	39	532	3	4187023
532	boar?'	37.90945	1	20	40	533	6	0
533	The	6.916650000000001	1	20	41	534	3	484810
534	next	8.5677	1	20	42	535	4	34926
535	instance	14.9637	1	20	43	536	8	1167
536	he	8.24035	1	20	44	537	2	463232
537	opened	14.40315	1	20	45	538	6	8996
538	the	5.52805	1	20	46	539	3	4187023
539	boar's	24.5638	1	20	47	540	6	21
540	mouth	16.2075	1	20	48	541	5	6418
541	and	6.671250000000001	1	20	49	542	3	2001994
542	cut	14.51785	1	20	50	543	3	13641
543	out	7.95445	1	20	51	544	3	187808
544	its	13.43555	1	20	52	545	3	73260
545	tongue,	23.75195	1	20	53	546	7	321
546	taking	13.1639	1	20	54	547	6	17398
547	that	6.5479	1	20	55	548	4	914941
548	as	9.8606	1	20	56	549	2	438309
549	proof	17.4899	1	20	57	550	5	2031
550	for	8.01275	1	20	58	551	3	657368
551	the	5.7364	1	20	59	552	3	4187023
552	Lord.	20.1495	1	20	60	553	5	860
553	He	6.73875	1	21	1	554	2	240604
554	set	11.6679	1	21	2	555	3	26475
555	out	9.428	1	21	3	556	3	187808
556	for	8.4186	1	21	4	557	3	657368
557	the	5.7364	1	21	5	558	3	4187023
558	Manor	17.062649999999998	1	21	6	559	5	251
559	House	12.742899999999999	1	21	7	560	5	7775
560	as	9.03965	1	21	8	561	2	438309
561	quickly	13.79655	1	21	9	562	7	5902
562	as	8.843350000000001	1	21	10	563	2	438309
563	he	9.1844	1	21	11	564	2	463232
564	could	9.2234	1	21	12	565	5	118093
565	and	7.955550000000001	1	21	13	566	3	2001994
566	he	8.4816	1	21	14	567	2	463232
567	had	9.2248	1	21	15	568	3	276988
568	only	9.8393	1	21	16	569	4	103041
569	been	11.4592	1	21	17	570	4	156669
570	gone	13.38505	1	21	18	571	4	16461
571	a	9.83475	1	21	19	572	1	1933416
572	few	9.90485	1	21	20	573	3	30257
573	minutes	11.53315	1	21	21	574	7	9579
574	when	10.38425	1	21	22	575	4	165726
575	a	8.264949999999999	1	21	23	576	1	1933416
576	second	11.1904	1	21	24	577	6	28663
577	huntsman,	25.9056	1	21	25	578	9	49
578	not	9.681799999999999	1	21	26	579	3	379396
579	so	7.6864	1	21	27	580	2	222473
580	bold	17.2453	1	21	28	581	4	965
581	as	7.9321	1	21	29	582	2	438309
582	the	8.23275	1	21	30	583	3	4187023
583	first	9.84555	1	21	31	584	5	106009
584	but	8.915700000000001	1	21	32	585	3	262599
585	a	7.3361	1	21	33	586	1	1933416
586	little	7.8826	1	21	34	587	6	104679
587	more	10.301300000000001	1	21	35	588	4	128373
588	cunning,	23.40795	1	21	36	589	8	82
589	came	13.7406	1	21	37	590	4	54853
590	on	8.8261	1	21	38	591	2	560861
